| Field                  | Description                                                            |
| ---------------------- | ---------------------------------------------------------------------- |
| **Artifact ID:**       | SUD-001                                                                |
| **Description:**       | Analysis - Sudo command usage on bastion host                          |
| **Related Lab:**       | LAB001 | OBS-LAB001                                                    |
| **Date Analyzed:**     | 2025-11-14                                                             |
| **Analyst:**           | Jessie Moe                                                             |
| **Source System:**     | bastion  						                                      |
| **Primary Logs Used:** | 2025-11-08_journalctl.log|2025-11-08_auth.log|                         |
| **Category:**          | Accounts | Authentication | System                                     |
| **Severity:**          | High                                                                  |

grep -a -E 'sudo' | grep -a -E 'COMMAND' 2025-11-08_auth.log 
2025-11-06T15:04:16.071134-07:00 bastion sudo:   jessie : TTY=pts/0 ; PWD=/home/gitops/.ssh ; USER=root ; COMMAND=/usr/bin/apt install openssh-server -y
2025-11-06T15:50:51.139154-07:00 bastion sudo:   jessie : TTY=tty1 ; PWD=/home/jessie ; USER=root ; COMMAND=/usr/bin/nano /etc/networking/interfaces
2025-11-06T15:51:25.222257-07:00 bastion sudo:   jessie : TTY=tty1 ; PWD=/home/jessie ; USER=root ; COMMAND=/usr/bin/nano /etc/network/interfaces
2025-11-06T15:55:54.806784-07:00 bastion sudo:   jessie : TTY=tty1 ; PWD=/home/jessie ; USER=root ; COMMAND=/usr/bin/systemctl restart networking
2025-11-06T16:56:33.825978-07:00 bastion sudo:   jessie : TTY=tty1 ; PWD=/home/jessie ; USER=root ; COMMAND=/usr/sbin/lynis audit system
2025-11-07T14:57:12.848378-07:00 bastion sudo:   jessie : TTY=tty1 ; PWD=/ ; USER=root ; COMMAND=/usr/bin/mkdir /media/usb-drive
2025-11-07T14:58:37.633803-07:00 bastion sudo:   jessie : TTY=tty1 ; PWD=/media ; USER=root ; COMMAND=/usr/bin/mount sdb1 /media/usb-drive
2025-11-07T14:59:10.002041-07:00 bastion sudo:   jessie : TTY=tty1 ; PWD=/media ; USER=root ; COMMAND=/usr/bin/tail dmesg
2025-11-07T14:59:38.812941-07:00 bastion sudo:   jessie : TTY=tty1 ; PWD=/media ; USER=root ; COMMAND=/usr/bin/mount /sdb/sdb1 /media/usb-drive
2025-11-07T14:59:44.965282-07:00 bastion sudo:   jessie : TTY=tty1 ; PWD=/media ; USER=root ; COMMAND=/usr/bin/mount /sdb1 /media/usb-drive
2025-11-07T15:01:11.892801-07:00 bastion sudo:   jessie : TTY=tty1 ; PWD=/media ; USER=root ; COMMAND=/usr/bin/mount /sdb1 /cdrom0
