USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.4  1.4  23812 14488 ?        Ss   17:56   0:00 /sbin/init
root           2  0.0  0.0      0     0 ?        S    17:56   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    17:56   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-kvfree_rcu_reclaim]
root           5  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-rcu_gp]
root           6  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-sync_wq]
root           7  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-netns]
root           9  0.0  0.0      0     0 ?        I    17:56   0:00 [kworker/0:0-rcu_gp]
root          10  1.2  0.0      0     0 ?        I    17:56   0:01 [kworker/0:1-events]
root          11  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/0:0H-kblockd]
root          12  0.0  0.0      0     0 ?        I    17:56   0:00 [kworker/u4:0-flush-8:0]
root          13  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    17:56   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    17:56   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    17:56   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    17:56   0:00 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        R    17:56   0:00 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    17:56   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          20  0.0  0.0      0     0 ?        S    17:56   0:00 [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S    17:56   0:00 [migration/0]
root          22  0.0  0.0      0     0 ?        S    17:56   0:00 [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S    17:56   0:00 [cpuhp/0]
root          25  0.0  0.0      0     0 ?        S    17:56   0:00 [kdevtmpfs]
root          26  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-inet_frag_wq]
root          27  0.0  0.0      0     0 ?        S    17:56   0:00 [kauditd]
root          28  0.0  0.0      0     0 ?        S    17:56   0:00 [khungtaskd]
root          29  0.0  0.0      0     0 ?        I    17:56   0:00 [kworker/u4:1-events_unbound]
root          30  0.0  0.0      0     0 ?        S    17:56   0:00 [oom_reaper]
root          31  0.0  0.0      0     0 ?        I    17:56   0:00 [kworker/u4:2-kvfree_rcu_reclaim]
root          32  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-writeback]
root          33  0.0  0.0      0     0 ?        S    17:56   0:00 [kcompactd0]
root          34  0.0  0.0      0     0 ?        SN   17:56   0:00 [ksmd]
root          35  0.0  0.0      0     0 ?        SN   17:56   0:00 [khugepaged]
